Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,_T,Total,Banja Luka,185042
2013,NUMBER,_T,0-4,Banja Luka,9610
2013,NUMBER,F,Total,Banja Luka,95894
2013,NUMBER,F,0-4,Banja Luka,4712
2013,NUMBER,M,Total,Banja Luka,89148
2013,NUMBER,M,0-4,Banja Luka,4898
2013,NUMBER,_T,Total,Bijeljina,107715
2013,NUMBER,_T,0-4,Bijeljina,5080
2013,NUMBER,F,Total,Bijeljina,54888
2013,NUMBER,F,0-4,Bijeljina,2443
2013,NUMBER,M,Total,Bijeljina,52827
2013,NUMBER,M,0-4,Bijeljina,2637
2013,NUMBER,_T,Total,Bosanska Krupa,25545
2013,NUMBER,_T,0-4,Bosanska Krupa,1423
2013,NUMBER,F,Total,Bosanska Krupa,12997
2013,NUMBER,F,0-4,Bosanska Krupa,688
2013,NUMBER,M,Total,Bosanska Krupa,12548
2013,NUMBER,M,0-4,Bosanska Krupa,735
2013,NUMBER,_T,Total,Bosanski Petrovac,7328
2013,NUMBER,_T,0-4,Bosanski Petrovac,249
2013,NUMBER,F,Total,Bosanski Petrovac,3650
2013,NUMBER,F,0-4,Bosanski Petrovac,123
2013,NUMBER,M,Total,Bosanski Petrovac,3678
2013,NUMBER,M,0-4,Bosanski Petrovac,126
